"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"Please Don't Leave",0.454,0.713,7,-6.436,1,0.052,0.00136,0.406,0.113,0.412,169.94,"audio_features","2DqHl0R29m6WRTfQAS3zBI","spotify:track:2DqHl0R29m6WRTfQAS3zBI","https://api.spotify.com/v1/tracks/2DqHl0R29m6WRTfQAS3zBI","https://api.spotify.com/v1/audio-analysis/2DqHl0R29m6WRTfQAS3zBI",251528,4,"linus"
"Searching For Heaven",0.559,0.361,4,-11.855,1,0.0333,0.927,0.762,0.152,0.887,137.516,"audio_features","0sJMB4vAtfFeHHa68VcA7K","spotify:track:0sJMB4vAtfFeHHa68VcA7K","https://api.spotify.com/v1/tracks/0sJMB4vAtfFeHHa68VcA7K","https://api.spotify.com/v1/audio-analysis/0sJMB4vAtfFeHHa68VcA7K",169544,4,"linus"
"I Don't Know How To Love",0.411,0.89,11,-6.062,1,0.0409,0.0617,0.129,0.227,0.0701,169.966,"audio_features","0MapHAOWC5xN9kypG84DUn","spotify:track:0MapHAOWC5xN9kypG84DUn","https://api.spotify.com/v1/tracks/0MapHAOWC5xN9kypG84DUn","https://api.spotify.com/v1/audio-analysis/0MapHAOWC5xN9kypG84DUn",202054,4,"linus"
"Hard To Love",0.532,0.642,5,-7.094,1,0.0361,0.0194,4.85e-05,0.0808,0.278,170.01,"audio_features","69CdVAWnK2n0zVLx2iEhX6","spotify:track:69CdVAWnK2n0zVLx2iEhX6","https://api.spotify.com/v1/tracks/69CdVAWnK2n0zVLx2iEhX6","https://api.spotify.com/v1/audio-analysis/69CdVAWnK2n0zVLx2iEhX6",233276,4,"linus"
"Money",0.603,0.918,4,-6.652,0,0.0642,0.213,0.146,0.287,0.453,102.473,"audio_features","5Q1H7ASDiJpACNx5ziyhuN","spotify:track:5Q1H7ASDiJpACNx5ziyhuN","https://api.spotify.com/v1/tracks/5Q1H7ASDiJpACNx5ziyhuN","https://api.spotify.com/v1/audio-analysis/5Q1H7ASDiJpACNx5ziyhuN",233655,4,"linus"
"What You Were",0.621,0.829,7,-5.466,1,0.025,0.166,0.495,0.32,0.235,105.066,"audio_features","14q1vy9Tvz1TmzLWocWs9k","spotify:track:14q1vy9Tvz1TmzLWocWs9k","https://api.spotify.com/v1/tracks/14q1vy9Tvz1TmzLWocWs9k","https://api.spotify.com/v1/audio-analysis/14q1vy9Tvz1TmzLWocWs9k",195280,4,"linus"
"Slipping Away",0.693,0.547,11,-9.02,0,0.041,0.42,0.141,0.102,0.774,77.968,"audio_features","07AbRgKmb5KfppwtZbZqDI","spotify:track:07AbRgKmb5KfppwtZbZqDI","https://api.spotify.com/v1/tracks/07AbRgKmb5KfppwtZbZqDI","https://api.spotify.com/v1/audio-analysis/07AbRgKmb5KfppwtZbZqDI",235507,4,"linus"
"I Know How You Get",0.758,0.722,0,-5.173,1,0.0409,0.467,0.573,0.29,0.862,121.99,"audio_features","45wc09gWR3WymUNOx9hT8z","spotify:track:45wc09gWR3WymUNOx9hT8z","https://api.spotify.com/v1/tracks/45wc09gWR3WymUNOx9hT8z","https://api.spotify.com/v1/audio-analysis/45wc09gWR3WymUNOx9hT8z",290261,4,"linus"
"Bless the Telephone",0.567,0.175,2,-17.466,0,0.0483,0.978,2.14e-05,0.103,0.229,135.521,"audio_features","0620OecAlwJQxWieRW4L9s","spotify:track:0620OecAlwJQxWieRW4L9s","https://api.spotify.com/v1/tracks/0620OecAlwJQxWieRW4L9s","https://api.spotify.com/v1/audio-analysis/0620OecAlwJQxWieRW4L9s",100747,4,"linus"
"Pines",0.645,0.349,6,-12.698,0,0.0343,0.842,0.802,0.107,0.277,133.907,"audio_features","7qFLFQOYcytDd4hejiREzk","spotify:track:7qFLFQOYcytDd4hejiREzk","https://api.spotify.com/v1/tracks/7qFLFQOYcytDd4hejiREzk","https://api.spotify.com/v1/audio-analysis/7qFLFQOYcytDd4hejiREzk",222090,4,"linus"
"Sugar",0.822,0.462,9,-12.75,0,0.0365,0.645,0.313,0.14,0.8,114.032,"audio_features","6ZdAsADC9LIICvsVRuGWbZ","spotify:track:6ZdAsADC9LIICvsVRuGWbZ","https://api.spotify.com/v1/tracks/6ZdAsADC9LIICvsVRuGWbZ","https://api.spotify.com/v1/audio-analysis/6ZdAsADC9LIICvsVRuGWbZ",176316,4,"linus"
"Halah",0.622,0.448,0,-10.709,1,0.0265,0.23,0,0.102,0.553,106.085,"audio_features","6JuEshIRliNXRU1LXctRjZ","spotify:track:6JuEshIRliNXRU1LXctRjZ","https://api.spotify.com/v1/tracks/6JuEshIRliNXRU1LXctRjZ","https://api.spotify.com/v1/audio-analysis/6JuEshIRliNXRU1LXctRjZ",196227,4,"linus"
"Only in the West",0.955,0.544,7,-6.872,1,0.0888,0.074,0.0535,0.216,0.527,116.961,"audio_features","6ViQyVYQMlhxDPQ7Dw3n1J","spotify:track:6ViQyVYQMlhxDPQ7Dw3n1J","https://api.spotify.com/v1/tracks/6ViQyVYQMlhxDPQ7Dw3n1J","https://api.spotify.com/v1/audio-analysis/6ViQyVYQMlhxDPQ7Dw3n1J",196170,4,"linus"
