"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"Body Pump - Sammy Virji Remix",0.923,0.908,11,-7.158,1,0.312,0.00786,0.603,0.624,0.964,130.018,"audio_features","1R0EiJvOzjo9yrju6I9KGd","spotify:track:1R0EiJvOzjo9yrju6I9KGd","https://api.spotify.com/v1/tracks/1R0EiJvOzjo9yrju6I9KGd","https://api.spotify.com/v1/audio-analysis/1R0EiJvOzjo9yrju6I9KGd",263000,4,"Maxwell"
"Microdosing (Conducta Remix) - Edit",0.738,0.905,7,-6.651,0,0.0411,0.0071,0.0597,0.277,0.941,131.954,"audio_features","7FYvSHYySIXK9hCwBgnOea","spotify:track:7FYvSHYySIXK9hCwBgnOea","https://api.spotify.com/v1/tracks/7FYvSHYySIXK9hCwBgnOea","https://api.spotify.com/v1/audio-analysis/7FYvSHYySIXK9hCwBgnOea",177000,4,"Maxwell"
"On A Beach - Champion Remix",0.827,0.712,6,-5.82,0,0.108,0.0722,0.000204,0.374,0.544,129.996,"audio_features","7wmml75Sn2lhJjsyaXkOBE","spotify:track:7wmml75Sn2lhJjsyaXkOBE","https://api.spotify.com/v1/tracks/7wmml75Sn2lhJjsyaXkOBE","https://api.spotify.com/v1/audio-analysis/7wmml75Sn2lhJjsyaXkOBE",165692,4,"Maxwell"
"Feel It",0.73,0.55,8,-5.564,0,0.045,0.22,0.0086,0.0863,0.176,135.03,"audio_features","00B3cITDbSBY9GeKZvxw9M","spotify:track:00B3cITDbSBY9GeKZvxw9M","https://api.spotify.com/v1/tracks/00B3cITDbSBY9GeKZvxw9M","https://api.spotify.com/v1/audio-analysis/00B3cITDbSBY9GeKZvxw9M",192000,4,"Maxwell"
"Sunshine - Wookie Main Mix",0.77,0.859,3,-7.792,1,0.0454,0.0619,0.599,0.0732,0.85,137.186,"audio_features","0crvolcKNxcfLMBFt8I9Hx","spotify:track:0crvolcKNxcfLMBFt8I9Hx","https://api.spotify.com/v1/tracks/0crvolcKNxcfLMBFt8I9Hx","https://api.spotify.com/v1/audio-analysis/0crvolcKNxcfLMBFt8I9Hx",267947,4,"Maxwell"
"Horizon (Japan CD)",0.551,0.274,4,-15.865,0,0.0282,0.0289,0.925,0.112,0.129,110.181,"audio_features","6iZRqJjpbOVEv4mFTpqg1d","spotify:track:6iZRqJjpbOVEv4mFTpqg1d","https://api.spotify.com/v1/tracks/6iZRqJjpbOVEv4mFTpqg1d","https://api.spotify.com/v1/audio-analysis/6iZRqJjpbOVEv4mFTpqg1d",262560,4,"Maxwell"
"Euphoria (Solomun Remix) - Extended",0.682,0.903,7,-5.485,1,0.0406,2.38e-05,0.883,0.108,0.316,134.001,"audio_features","39WFZJm9X8QJyHZy4sTwGo","spotify:track:39WFZJm9X8QJyHZy4sTwGo","https://api.spotify.com/v1/tracks/39WFZJm9X8QJyHZy4sTwGo","https://api.spotify.com/v1/audio-analysis/39WFZJm9X8QJyHZy4sTwGo",346603,4,"Maxwell"
"Revelations",0.732,0.689,8,-6.084,0,0.0436,0.185,0.000117,0.0917,0.0765,100.998,"audio_features","40zJbxW89dq6bEwUVLrxJS","spotify:track:40zJbxW89dq6bEwUVLrxJS","https://api.spotify.com/v1/tracks/40zJbxW89dq6bEwUVLrxJS","https://api.spotify.com/v1/audio-analysis/40zJbxW89dq6bEwUVLrxJS",208810,4,"Maxwell"
"All I Need",0.574,0.58,0,-11.619,0,0.0396,0.0244,0.487,0.116,0.0771,124.924,"audio_features","0neoGRJaj0mr72NOHQhNZe","spotify:track:0neoGRJaj0mr72NOHQhNZe","https://api.spotify.com/v1/tracks/0neoGRJaj0mr72NOHQhNZe","https://api.spotify.com/v1/audio-analysis/0neoGRJaj0mr72NOHQhNZe",215000,4,"Maxwell"
"Our Own House",0.559,0.76,8,-4.682,1,0.0575,0.00228,0.000481,0.052,0.433,125.773,"audio_features","3QzbEvmnuZIONNv82PylZb","spotify:track:3QzbEvmnuZIONNv82PylZb","https://api.spotify.com/v1/tracks/3QzbEvmnuZIONNv82PylZb","https://api.spotify.com/v1/audio-analysis/3QzbEvmnuZIONNv82PylZb",232187,4,"Maxwell"
"Save Myself",0.799,0.653,10,-9.973,0,0.0527,0.00118,0.925,0.125,0.594,129.999,"audio_features","5qKvwo4X9QNcj7H5YEs0xW","spotify:track:5qKvwo4X9QNcj7H5YEs0xW","https://api.spotify.com/v1/tracks/5qKvwo4X9QNcj7H5YEs0xW","https://api.spotify.com/v1/audio-analysis/5qKvwo4X9QNcj7H5YEs0xW",334154,4,"Maxwell"
"Beyond",0.581,0.687,6,-5.4,1,0.105,0.229,0,0.109,0.187,76.014,"audio_features","1Omt5bfz1tZUCqd26HxbS0","spotify:track:1Omt5bfz1tZUCqd26HxbS0","https://api.spotify.com/v1/tracks/1Omt5bfz1tZUCqd26HxbS0","https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0",240600,4,"Maxwell"
"Miss U [2020 Export Wav]",0.343,0.485,5,-8.019,1,0.0306,0.472,3.1e-05,0.432,0.101,96.059,"audio_features","5GzYVxjeOA8VQpBLzt13w8","spotify:track:5GzYVxjeOA8VQpBLzt13w8","https://api.spotify.com/v1/tracks/5GzYVxjeOA8VQpBLzt13w8","https://api.spotify.com/v1/audio-analysis/5GzYVxjeOA8VQpBLzt13w8",239999,4,"Maxwell"
"SKY SKY 1.3 [2016 Export Wav]",0.236,0.426,2,-5.877,0,0.0382,0.694,0.00121,0.129,0.0796,118.218,"audio_features","4rpJr9FHgUofV6HllNWmcq","spotify:track:4rpJr9FHgUofV6HllNWmcq","https://api.spotify.com/v1/tracks/4rpJr9FHgUofV6HllNWmcq","https://api.spotify.com/v1/audio-analysis/4rpJr9FHgUofV6HllNWmcq",164507,4,"Maxwell"
"Space & Time",0.666,0.798,9,-6.093,0,0.0478,0.00164,0.593,0.0838,0.622,127.984,"audio_features","1cF19RNhO3yKwVxM0FENXX","spotify:track:1cF19RNhO3yKwVxM0FENXX","https://api.spotify.com/v1/tracks/1cF19RNhO3yKwVxM0FENXX","https://api.spotify.com/v1/audio-analysis/1cF19RNhO3yKwVxM0FENXX",240024,3,"Maxwell"
